,message,calling,email,contact,video,time,network,system,android_market,display,browser,lock,bluetooth,calculator,audio,youtube,memory,input,notification,image,GPS,camera,ringtone,keyboard,signal,search,calendar,setting,wifi,UI,app,car,alarm,voicemail,upgrade,dialing,USB,touchscreen,CPU,SD_card,gtalk,voicedialing,synchronize,language,voice_recognition,google_voice,google_map,google_navigation,location,font,facebook,google_earth,battery,google_translate,twitter,date,VPN,radio,flash,picassa,video_call,rSAP,region,screen_shot,download,google_latitude,IPV6,SIM_card,bluethooth,3G,proxy,compass
message,31.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SIM_card,7.0,6.0,4.0,2.0,0.0,2.0,7.0,3.0,2.0,4.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,
setting,4.0,1.0,3.0,6.0,0.0,0.0,4.0,0.0,2.0,9.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
time,3.0,0.0,2.0,2.0,0.0,21.0,3.0,4.0,1.0,6.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
UI,8.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,7.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bluetooth,0.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,35.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
system,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
app,23.0,1.0,6.0,1.0,1.0,0.0,3.0,9.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
upgrade,7.0,2.0,3.0,3.0,0.0,0.0,6.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
email,1.0,0.0,48.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
