,message,calling,email,contact,video,time,network,system,android_market,display,browser,lock,bluetooth,calculator,audio,youtube,memory,input,notification,image,GPS,camera,ringtone,keyboard,signal,search,calendar,setting,wifi,UI,app,car,alarm,voicemail,upgrade,dialing,USB,touchscreen,CPU,SD_card,gtalk,voicedialing,synchronize,language,voice_recognition,google_voice,google_map,google_navigation,location,font,facebook,google_earth,battery,google_translate,twitter,date,VPN,radio,flash,picassa,video_call,rSAP,region,screen_shot,download,google_latitude,IPV6,SIM_card,bluethooth,3G,proxy,compass
message,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
SIM_card,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
setting,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
time,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
UI,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
bluetooth,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
system,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
app,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
upgrade,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
email,136.0,31.0,71.0,75.0,12.0,26.0,78.0,61.0,50.0,74.0,93.0,5.0,48.0,5.0,78.0,10.0,9.0,25.0,29.0,23.0,14.0,6.0,12.0,34.0,10.0,20.0,80.0,32.0,48.0,59.0,26.0,1.0,16.0,3.0,40.0,21.0,9.0,7.0,2.0,18.0,15.0,3.0,34.0,31.0,4.0,5.0,14.0,7.0,3.0,10.0,6.0,2.0,12.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,
