5401;GPS;camera;Sat 12 Dec 2009 05:31:22 +0000;Droid;(2.0.1);gps;coordinates;not;saved;with;picture;created;using;inbox;camera;Device;:;Motorola;Droid.;Firmware;Android;2.0.1;took;a;picture;using;the;built;in;camera;application;-0;Store;Location;(ON);-0;Uploaded;to;picassa;GPS;coordinates;were;not;available;in;the;picture;Expected;result:;GPS;tags;(latitude;and;longitude);should;have;been;available;in;the;metadata;of;the;picture.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4827;image;Mon 16 Nov 2009 16:05:59 +0000;Android;unable;to;display;high-resolution;images?;"Device: Motorola Droid Kernel Version: 2.6.29-omap1-g04df51f android-build@apa26 $477 Build number: ESD20 Neither Gallery nor browser nor any other imaging application IQ'Eve tested are able to view a large resolution PNG at true quality. All seem to exhibit some compression/resampling and associated lossy degredation. My test image has been this image at 3274x2067 resolution: http://imgs.xkcd.com/comics/movie_narrative_charts_large.png As you can see in the top right corner the word Q""EAragornQ""E is clear and legible and the green line is clearly surrounded by the gold line. If I take a 1x1 crop of that portion of the image it can be viewed clearly on screen. If I load the full image the quality is substantially degraded. Does Android have a maximum supported file resolution? This image is just over 1MB in size I wouldnQ'Et think it would be difficult for the Droid to view.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5337;exchange;calendar;contact;synchronize;Thu 10 Dec 2009 14:19:43 +0000;2.0.1;on;Motorola;Droid;Breaks;Exchange;Calendar/Contact;Syncs;"My company uses Exchange ActiveSync policies that as I understand it are not currently Android-supported. However when running 2.0 on my Verizon Motorola Droid IQ'Eve always been able to set up an Exchange account and sync my calendar and contacts when in the office and connected to the company wifi network. This morning I was in the office and things were working fine as usual when I received an OTA update to 2.0.1. After installing 2.0.1 syncs fail (with a rather uninformative error message: Q""ESync failedQ""E). I tried removing the account and setting it up again but after entering my server and login information I get: Setup could not finish This Exchange ActiveSync server requires security features your phone does not support. I donQ'Et think the IT people rolled out any Exchange changes in the five minutes it took to upgrade my phone so I believe that the new release has a bug that prevents me from using Exchange over wifi. Model: Motorol Droid Firmware version: 2.0.1 Kernel version: 2.6.29-omap1-g0dd7e0b android-build@apa26 #511 Build number ESD56 Steps to reproduce: upgrade from 2.0 to 2.0.1 Expected behavior: Exchange calendar/contact syncs work can set up Exchange accounts Actual behavior: Syncs fail cannot set up Exchange account.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4873;contact;search;Tue 17 Nov 2009 22:44:17 +0000;Contacts;search;doesnQ'Et;match;Organization;field;"Using Motorola Droid from Verizon. In contacts the search feature fails to find contacts that have the search string in their Q""EOrganization Field.Q""E For instance I have a contact Jim Bean that has Organization Bean Farming. But if I search for Q""EfarmQ""E no contacts come up. When I search on http://www.google.com/contacts it comes up. This canQ'Et be the intended functionality can it?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5650;screen;lock;Fri 25 Dec 2009 22:10:23 +0000;Lock;screen;when;removing;from;car;dock.;Would be nice to have the option to automatically lock the screen when the phone is removed from the car dock. I have a Motorola Droid and itQ'Es already a pain to have to detach the audio and USB cables would be nice if I didnQ'Et have to fumble with the button either. Getting in and out of the car with this phone is a tedious irritating multistep process already (snap off both sides of protective case place in car mount find and attach lighter blug and audio cable exit car mode and start mp3 player -Q>E reverse when leaving car). Thanks J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4742;message;synchronize;Thu 12 Nov 2009 23:06:42 +0000;Group;texting;Ideally it would be nice if we could set up a group on our gmail account that would sync to the phone and be able to select text to a group instead of just a single person or having to list all the individuals we wish to text to. when one to text it would send it to the contacts first mobile number listed unless specified otherwise. or having a groups option on the phone that we could add peopleQ'Es phone numbers to and then when we went to send a text and we selected that group it would send the text to the numbers that had been added to that group. Verizon Motorola Droid - Android 2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5417;voicedialing;bluetooth;;Sun 13 Dec 2009 02:49:26 +0000;Bluetooth;Voice;Dial;I find it hard to believe that i cannot dial the Motorola Droid using a Motorola bluetooth headset. My last 4 Motorola (V557 SLVR 2 versions of RAZR) phones had the ability to do this. This neds to be addresses right away. This forces users to take their eyes off the road to dial.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5564;voicedialing;image;Mon 21 Dec 2009 16:14:06 +0000;"Droid 2.0.1 voice dialer Q""EOpen GalleryQ""E fails";"On the Motorola Droid firmware 2.0.1 I start the voice dialer and say Q""Eopen gallery.Q""E The command is recognized as Q""EOpen GalleryQ""E so I press OK. I then get the message Q""Ethe application Voice Dialer (process com.android.voicedialer) has stopped unexpectedly. Please try again.Q""E This is repeatable.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5354;audio;system;Fri 11 Dec 2009 00:54:45 +0000;AudioRecord;is;not;cleanly;deallocated;on;abnormal;process;exit;"Recording system is not shutdown properly on abnormal program termination leading to unusable microphone until phone is rebooted. No recording can be performed after the crash. Proposed proper behavior: the system handles/resources should have been returned on process exit regardless of the user program correctness (i.e. it may get killed and not get chance to properly shutdown). I.e. the microphone should be usable again without having to reboot the phone. Steps to reproduce On Motorola Droid (Firmware 2.0 build ESD20 2.6.29-omap1-g04df51f android-build@apa26) build write a sample app that initialized AudioRecord and starts recording and then crashes before calling stopRecording() I.e. AudioRecord recordInstance = new AudioRecord ( MediaRecorder.AudioSource.MIC 44100 AudioFormat.CHANNEL_CONFIGURATION_MONO AudioFormat.ENCODING_PCM_16BIT 2*4096); recordInstance.startRecording(); short[] audioData = new short[4096] int shortsRead = recordInstance.read(audioData 0 4096); throw new RuntimeException(?Unexpected crash?); Afterwards in adb the attempts to read print the following Q""E...obtainBuffer timed out (is the CPU pegged?)...Q""E";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4969;browser;Sat 21 Nov 2009 00:13:29 +0000;Browser;Hangs;Loading;Page;I have a fairly new Motorola Droid running Android 2.0 IQ'Eve had issues with the Browser hanging when visiting certain sites. When this occurs the only option was to reboot the phone to get the Browser working again. IQ'Eve since installed an application that lets me kill the Browser process. After killing the process I can restart the Browser and it operates normally until I visit one of these pages that causes it to hang. HereQ'Es a URL of a page on www.archive.org that consistently causes the Browser process to hang: http://www.archive.org/details/xoc_SMW My hunch is that perhaps the JavaScript based audio player or some other plug-in on the page is causing the issue but I havenQ'Et had any luck getting the page to load even with JavaScript and plug-ins disabled via the BrowserQ'Es settings. The tool I installed Astro Process Killer shows the Browser process using about 40 megs of memory and up to 60% of the CPU even when itQ'Es backgrounded. If possible IQ'Ed like if the browser wouldnQ'Et hang at all but at the very least having the ability to restart the Browser process without the need of an external process manager would be greatly appreciated. I think the easiest fix would be to have the process show up under the list of running Applications inside the native Settings menu for the phone.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4722;network;signal;Thu 12 Nov 2009 16:12:37 +0000;"Q""Eyou lost data connectivity because........Q""E";"I have the Motorola droid of course with the 2.0 OS. The problem I am having may just be a nuisance but when IQ'Eve got a 3g signal the os runs hunky dory however when I get to the house lose the cell signal (and 3g) and switch over to wireless android notifies me that Q""Eyou lost data connectivity becausQ""E... thatQ'Es it. IQ'Ell drop the notification bar and click on the error but it just disappears and then reappears around an hour later. I live in the mountains so itQ'Es no surprise to me when I lose the signal however this is very annoying. Also I noticed this morning that when I should have had a 3g signal I did not. Turning off the wireless signal popped up the 3g.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
