,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
calling,0.0,0.024390243902439025,0.020202020202020204,0.0,0.008928571428571428,0.05128205128205128,0.009900990099009901,0.0125,0.008695652173913044,0.01098901098901099,0.008333333333333333,0.06060606060606061,0.020618556701030927,0.04861111111111111,0.02857142857142857,0.007042253521126761,0.010752688172043012,0.0410958904109589,0.047244094488188976,0.02,0.0,0.010526315789473684,0.08333333333333333,0.011764705882352941,0.0,0.013157894736842105,0.012658227848101266,0.028169014084507043,0.0,0.0425531914893617,0.01098901098901099,0.0,0.025210084033613446,0.0875,0.02702702702702703,0.028985507246376812,0.011111111111111112,0.0,0.012195121951219513,0.0,0.0,0.012987012987012988,0.0,0.024691358024691357,0.0,0.0,0.028169014084507043,0.014925373134328358,0.0,0.014285714285714285,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,
browser,0.0273972602739726,0.0,0.012987012987012988,0.0,0.011235955056179775,0.02040816326530612,0.05333333333333334,0.0,0.0,0.014705882352941176,0.010309278350515464,0.0,0.0,0.03225806451612903,0.0,0.08108108108108109,0.05970149253731343,0.019230769230769232,0.0,0.04,0.032,0.013888888888888888,0.038461538461538464,0.0,0.0,0.0,0.017857142857142856,0.02040816326530612,0.017857142857142856,0.013513513513513514,0.029850746268656716,0.0,0.042105263157894736,0.0,0.019230769230769232,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
setting,0.0136986301369863,0.0,0.013157894736842105,0.018867924528301886,0.047058823529411764,0.0,0.012987012987012988,0.017857142857142856,0.033707865168539325,0.07936507936507936,0.010416666666666666,0.0,0.0273972602739726,0.040983606557377046,0.012048192771084338,0.02586206896551724,0.0,0.0,0.009259259259259259,0.015748031496062992,0.0,0.02857142857142857,0.02564102564102564,0.01639344262295082,0.014705882352941176,0.019230769230769232,0.0,0.0,0.0,0.0,0.014925373134328358,0.03571428571428571,0.031578947368421054,0.0,0.0,0.044444444444444446,0.06349206349206349,0.0625,0.017241379310344827,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0425531914893617,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gtalk,0.0125,0.015151515151515152,0.024390243902439025,0.0,0.043478260869565216,0.02912621359223301,0.036585365853658534,0.03225806451612903,0.01020408163265306,0.0273972602739726,0.0297029702970297,0.0,0.025,0.015151515151515152,0.03409090909090909,0.04132231404958678,0.013157894736842105,0.0,0.05454545454545454,0.030303030303030304,0.022727272727272728,0.01282051282051282,0.0,0.014705882352941176,0.013333333333333334,0.034482758620689655,0.016129032258064516,0.0,0.016129032258064516,0.02531645569620253,0.0273972602739726,0.0,0.019417475728155338,0.014492753623188406,0.0,0.0,0.0136986301369863,0.0,0.0,0.017241379310344827,0.0,0.016666666666666666,0.0,0.03125,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,0.02,0.0,0.018867924528301886,0.0,0.015384615384615385,0.013333333333333334,0.018518518518518517,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.04,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.041666666666666664,0.0,0.0,0.0,0.023255813953488372,0.037037037037037035,0.02857142857142857,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,
wifi,0.021739130434782608,0.0,0.02040816326530612,0.0,0.0,0.0,0.02,0.0,0.0,0.025,0.029411764705882353,0.0,0.0,0.010101010101010102,0.017857142857142856,0.01098901098901099,0.0,0.0,0.0,0.009900990099009901,0.020202020202020204,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.03571428571428571,0.021739130434782608,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
calendar,0.011111111111111112,0.0,0.010752688172043012,0.028985507246376812,0.17777777777777778,0.02654867256637168,0.05555555555555555,0.027777777777777776,0.018691588785046728,0.024096385542168676,0.02702702702702703,0.0,0.022222222222222223,0.014084507042253521,0.020202020202020204,0.030303030303030304,0.011627906976744186,0.014705882352941176,0.03278688524590164,0.050359712230215826,0.006944444444444444,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.015384615384615385,0.013888888888888888,0.02247191011235955,0.011904761904761904,0.0,0.026785714285714284,0.02564102564102564,0.014705882352941176,0.0,0.012048192771084338,0.0,0.013333333333333334,0.014705882352941176,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.015873015873015872,0.016129032258064516,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,
android_market,0.07216494845360824,0.022727272727272728,0.028846153846153848,0.012048192771084338,0.02586206896551724,0.023809523809523808,0.0,0.023529411764705882,0.016666666666666666,0.010309278350515464,0.007936507936507936,0.0,0.009615384615384616,0.026143790849673203,0.03636363636363636,0.04929577464788732,0.041666666666666664,0.0,0.05303030303030303,0.10416666666666667,0.032679738562091505,0.009900990099009901,0.018518518518518517,0.045454545454545456,0.020618556701030927,0.0,0.0,0.0,0.011764705882352941,0.09473684210526316,0.010309278350515464,0.0,0.015873015873015872,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.05,0.0,0.0,0.025,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
input,0.02531645569620253,0.015151515151515152,0.012048192771084338,0.0,0.02127659574468085,0.0392156862745098,0.011904761904761904,0.015873015873015872,0.05319148936170213,0.0,0.050505050505050504,0.0,0.012345679012345678,0.03076923076923077,0.011111111111111112,0.05,0.0,0.0,0.05454545454545454,0.03816793893129771,0.030534351145038167,0.01282051282051282,0.023529411764705882,0.014705882352941176,0.02702702702702703,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0125,0.0273972602739726,0.0,0.029411764705882353,0.0,0.0,0.0,0.0136986301369863,0.0,0.015384615384615385,0.05357142857142857,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,
camera,0.027777777777777776,0.17647058823529413,0.08450704225352113,0.0,0.011363636363636364,0.020618556701030927,0.0,0.0,0.01098901098901099,0.014925373134328358,0.021052631578947368,0.0,0.0,0.016,0.024390243902439025,0.00847457627118644,0.014492753623188406,0.0,0.009259259259259259,0.032,0.0,0.014084507042253521,0.012658227848101266,0.01639344262295082,0.029850746268656716,0.019230769230769232,0.01818181818181818,0.0,0.0,0.0,0.014925373134328358,0.0,0.0425531914893617,0.016129032258064516,0.0,0.0,0.03076923076923077,0.0,0.03508771929824561,0.0,0.0,0.018867924528301886,0.0,0.0,0.04,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
