,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
calling,0.0,2.0,2.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,3.0,1.0,1.0,3.0,6.0,3.0,0.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,3.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
browser,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,9.0,4.0,1.0,0.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
setting,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gtalk,1.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,5.0,1.0,0.0,6.0,4.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
wifi,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
calendar,1.0,0.0,1.0,2.0,16.0,3.0,5.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
android_market,7.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,7.0,4.0,0.0,7.0,15.0,5.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
input,2.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,6.0,5.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
camera,2.0,9.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
image,4.0,1.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,6.0,1.0,0.0,7.0,6.0,8.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
email,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
wifi,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0,9.0,6.0,1.0,5.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
