,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
calling,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
browser,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
setting,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
gtalk,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
null,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
wifi,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
calendar,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
android_market,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
input,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
camera,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
image,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
email,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
wifi,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
keyboard,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
setting,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
UI,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
sms,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
bluetooth,32.0,18.0,35.0,12.0,47.0,57.0,36.0,15.0,50.0,26.0,55.0,4.0,33.0,85.0,42.0,77.0,28.0,10.0,67.0,87.0,86.0,30.0,38.0,20.0,27.0,11.0,14.0,7.0,14.0,32.0,26.0,16.0,56.0,21.0,10.0,5.0,25.0,9.0,17.0,10.0,2.0,12.0,7.0,17.0,10.0,7.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,
